Food Code,Food Name,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg)
15-625,Tori ki subji,79.7,0.3,1.9,9.5,3.9,108.0,447.0,0.0,0.0,3.9,1.7,0.0,1.7,0.5,0.0,0.0,0.0,2.0,3.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,2.9
12-408,Torte,53.0,0.6,3.8,15.5,27.7,258.0,1080.0,9.9,0.4,17.4,1.3,0.0,0.6,13.0,0.7,1.8,0.0,0.5,1.2,63.84,9.35,5.52,0.82,0.98,0.14,30.08,4.41,32.15,4.71,6.08,0.89,7.85,1.15,57.29,8.49,2.7,0.0,3.84,0.56,42.0
11-925,Tortilla,30.6,1.37,7.8,5.7,53.9,285.0,1206.0,51.9,0.0,2.0,0.0,0.0,0.4,0.0,1.6,0.0,0.0,1.9,3.6,22.14,2.5,20.44,1.65,6.81,0.55,48.57,3.9,50.27,2.0,26.13,2.11,27.25,0.8,22.05,1.79,0.09,0.0,0.0,0.0,0.1
17-644,Tortilla chips fried in sunflower oil,1.3,1.16,7.2,27.4,60.8,504.0,2110.0,58.3,0.0,2.5,0.2,0.0,0.2,1.1,0.0,1.0,0.0,5.7,5.9,11.02,2.89,11.53,3.02,0.26,0.07,76.41,20.01,76.7,20.09,11.79,3.09,11.79,3.09,10.97,2.87,0.04,0.01,0.29,0.08,0.0
14-849,Trail mix,8.9,1.45,9.1,28.5,37.2,432.0,1804.0,0.1,0.0,37.1,17.3,0.0,16.1,3.4,0.4,0.0,0.0,4.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-826,Treacle,28.5,0.19,1.2,0.0,67.2,257.0,1096.0,0.0,0.0,66.8,17.4,0.0,16.7,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-1126,Treacle tart,19.8,0.67,3.8,15.9,59.2,380.0,1599.0,25.4,0.0,33.8,9.8,0.0,9.6,13.7,0.6,0.0,0.0,0.0,1.7,0.0,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.01,1.0
12-409,Trifle,67.2667,0.4367,2.7,7.6,21.0667,161.0,675.6667,4.3667,0.0,16.3667,2.4,0.0,2.8667,8.1,0.5333,2.4333,0.4,0.9667,0.8,21.7933,4.45,1.4333,0.1233,0.28,0.0233,9.1267,0.7767,9.8233,2.2,1.6233,0.1367,1.7133,0.4467,21.2467,1.8067,1.7333,0.1467,0.7867,0.1367,19.9333
18-428,Tripe,85.3,1.755,10.95,2.5,0.0,66.5,278.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.75,0.0,0.0,3.05,0.05,0.0,0.0,0.0,0.0,2.4,0.0,112.0
19-637,Tripe and onions,79.3,1.35,8.4,1.4,9.4,93.0,391.0,4.3,0.0,4.8,0.8,0.0,0.6,0.8,0.0,2.6,0.0,0.7,1.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,54.3
16-224,Trout,66.4,3.2733,20.4667,4.6667,0.0,124.0,520.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.9333,0.0,0.205,0.0,0.7717,9.7533,0.7233,0.0,1.175,12.8667,0.9733,0.0,1.39,0.0,0.0,0.0,0.0,0.04,0.005,58.3333
17-098,Truffles,2.95,0.975,6.1,28.9,59.0,508.5,2129.0,0.8,0.0,58.15,0.0,0.0,0.0,56.6,0.0,1.55,0.4,2.05,0.0,0.0,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13,0.0,0.0,0.0,1.215,0.0,0.0,0.0,0.0,0.0,0.13,76.3
16-399,Tuna,71.125,4.31,26.95,2.225,0.0,127.75,540.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1275,0.395,3.1225,0.9,7.535,0.175,27.3225,0.56,16.015,0.56,36.38,1.075,10.6475,1.075,0.0,0.0,0.0,0.0,0.185,0.0,42.3
16-155,Turbot,65.5,2.9033,18.1667,2.7667,0.0,97.6667,411.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-348,Turkey,61.3091,3.9605,25.2364,8.5864,0.1636,179.0,750.2273,0.0682,0.0,0.0955,0.0409,0.0,0.05,0.0045,0.0,0.0,0.0136,0.05,0.0,30.4818,2.6745,4.1841,0.4405,0.4977,0.0591,6.5564,0.7655,35.4682,3.185,4.6523,0.495,22.8773,1.9427,6.215,0.6809,0.0823,0.01,1.345,0.1214,104.6591
19-638,Turkey and pasta bake,69.6,1.96,12.0,5.6,7.2,130.0,545.0,5.1,0.0,2.0,0.3,0.0,0.4,0.1,0.1,1.2,0.0,0.6,1.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.14,35.0
19-543,Turkey slices,72.6,3.68,23.0,1.9,1.2,114.0,481.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,62.0
17-122,Turkish delight,15.1,0.425,2.35,1.3,79.95,321.5,1367.5,4.75,0.0,75.2,0.0,0.0,0.0,40.9,0.0,0.0,0.0,0.15,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-861,Turmeric,9.9,1.07,6.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
